id,currency,date,open,high,low,close,active
995,SOS,2023-05-21,9445,15345,1663,15767,False
996,BZD,1988-07-24,12795,805,4293,21886,False
997,UAH,1986-02-20,10032,5055,23208,827,True
998,IDR,2019-02-10,7168,23265,15136,2415,False
999,AOA,2004-04-16,11075,11385,23663,20238,True
1000,ERN,1990-02-14,11369,9543,23695,12534,False
1001,CUC,2011-04-19,23097,17269,928,19078,True
1002,OMR,2004-12-13,14618,13224,10311,4195,True
1003,HTG,2021-04-02,22256,2318,16659,23524,True
1004,QAR,2005-03-26,20917,17414,12391,7363,True
1005,FJD,2011-08-14,10898,19688,8045,11921,True
1006,TJS,2012-05-10,15085,3326,14264,23339,True
1007,TJS,1974-02-25,19972,4226,20980,9978,False
1008,DKK,2002-05-17,13099,13456,9039,15816,True
1009,XOF,1994-08-18,9638,870,13052,8400,False
1010,IMP,1971-01-02,3353,19338,2532,18247,True
1011,NGN,1992-03-27,7901,14996,21688,9598,True
1012,BWP,2018-09-09,6683,10027,23331,18467,False
1013,NIS,1992-04-27,21267,9220,8157,12189,True
1014,DKK,1988-09-24,2286,15697,4340,255,True
1015,FKP,1985-08-24,5669,22436,3081,21781,False
1016,OMR,1974-02-17,20328,4622,11001,5970,True
1017,SGD,2021-01-24,916,9242,22772,4860,True
1018,BOB,2016-03-25,11583,6331,12443,22144,True
1019,JEP,2023-03-19,5911,4244,17279,6156,True
1020,RWF,1983-12-05,6280,7851,15203,18307,True
1021,COP,2020-04-25,7369,5397,20153,15646,True
1022,KYD,1999-05-22,882,4988,12088,12708,False
1023,ANG,2000-11-01,5686,12698,12537,21152,False
1024,CLP,2003-03-25,8022,126,5141,9842,True
1025,USD,2011-10-14,5380,13166,3662,14998,True
1026,AMD,2018-05-13,19971,22406,12925,3608,True
1027,ZAR,1993-09-01,419,5822,22346,13661,True
1028,IRR,1986-02-16,9130,2272,4435,12584,False
1029,MKD,2000-02-06,21256,3054,1887,13475,False
1030,SOS,2013-06-01,5910,15517,17882,3305,False
1031,TTD,2001-07-21,5432,12322,22038,19820,True
1032,BAM,2010-07-24,21035,3609,14883,15682,True
1033,RSD,1980-12-25,16202,17052,20754,13518,True
1034,LKR,2019-08-27,9640,3463,8566,16807,True
1035,PGK,1984-04-30,828,5802,17965,8297,True
1036,TJS,1983-12-17,19956,12023,7983,5792,False
1037,NOK,2011-03-04,13891,2428,5430,23361,True
1038,GNF,2022-11-21,2669,10360,23809,21518,True
1039,NOK,1973-02-21,6078,21327,13430,15298,True
1040,TZS,1975-12-19,11794,521,11474,4371,False
1041,CAD,2018-10-29,15118,14778,843,1602,True
1042,KPW,1991-06-05,21321,17927,971,7770,True
1043,PYG,2016-04-22,13314,19959,22746,20533,False
1044,MRO,1999-03-16,16323,1753,23717,18831,False
1045,JPY,1983-11-26,21652,8417,15859,19084,False
1046,CRC,2022-07-26,20688,9009,12871,7688,True
1047,BBD,2001-11-20,20310,10213,4611,12908,True
1048,SPL,2013-04-15,9293,21683,1430,2562,True
1049,VUV,1980-06-09,14390,17975,135,5918,True
1050,CNY,1975-01-20,10003,7790,11413,21654,True
1051,HNL,2018-08-15,4443,9011,15361,22169,True
1052,LSL,2021-05-10,18793,11336,17874,9715,True
1053,UGX,2014-04-24,351,1544,15211,2105,True
1054,AMD,1998-05-12,12993,174,10907,14779,True
1055,NIO,1979-06-30,18440,12176,11952,4923,True
1056,VUV,1976-03-20,20797,1070,6324,18424,True
1057,BGN,1989-06-17,14126,8511,17434,11160,True
1058,SRD,2023-04-24,18437,20741,9309,10127,True
1059,PKR,1994-01-25,18164,6465,15972,20500,False
1060,KMF,2015-08-22,9357,12963,2983,16920,True
1061,BMD,2016-03-15,9397,5252,7692,19064,False
1062,XPF,1993-06-09,10919,16576,16545,13335,True
1063,MOP,2021-04-01,16426,938,20041,13534,True
1064,COP,1991-12-28,3024,12648,8201,664,True
1065,LTL,2016-09-28,8392,6496,17308,77,True
1066,KRW,1994-01-23,23381,19695,23941,20688,True
1067,CDF,1990-09-11,10024,10516,3470,14266,True
1068,NZD,1973-12-04,9884,5878,10784,11550,False
1069,PYG,1993-12-29,9543,11811,2461,3738,True
1070,MUR,1989-11-11,9965,3180,12563,7995,True
1071,LKR,2009-09-19,21196,16762,22459,16356,True
1072,CDF,1974-01-05,9560,7583,18135,4143,False
1073,MZN,1994-03-31,18169,9883,19729,23920,True
1074,CAD,2016-11-22,7619,21507,3722,15792,True
1075,PKR,2016-10-11,4104,20559,13654,11841,True
1076,AED,2015-05-10,22638,3186,14868,19814,True
1077,JPY,2015-09-17,4869,7340,5877,17551,True
1078,HTG,1987-04-28,10436,10371,20491,1828,True
1079,HKD,1982-11-17,12541,9185,11537,2142,True
1080,BSD,2021-12-01,5421,14825,14483,2363,True
1081,NIS,1993-11-19,22244,1372,13649,864,True
1082,AZN,1991-05-30,7346,19885,4276,11596,True
1083,NPR,2017-12-10,12969,18346,13936,13469,True
1084,KMF,1973-12-17,20339,14811,19100,58,False
1085,UGX,1987-03-03,2871,833,18921,17965,False
1086,HUF,2015-12-15,14471,13694,21103,14004,False
1087,SCR,1996-02-03,7764,21959,9445,21924,True
1088,SDG,2018-03-02,17644,10602,5522,19046,True
1089,INR,1975-09-20,2723,10378,8145,17876,True
1090,NOK,2009-11-03,172,9526,11741,6650,True
1091,SZL,2014-05-14,1935,21579,1856,19680,True
1092,BHD,2017-02-25,1499,13765,6260,12353,False
1093,PLN,2009-11-10,20391,15688,17980,2584,False
1094,GMD,1976-12-14,22161,958,2426,8425,True
1095,SYP,1996-09-18,23483,22000,2771,20922,False
1096,UYU,1994-11-15,12155,23396,16670,3979,True
1097,AMD,1986-03-25,13831,2034,11240,5706,True
1098,MZN,1977-06-26,16391,6584,14785,6631,True
1099,GMD,2018-03-20,14748,15144,16003,308,True
1100,NGN,2010-01-04,11032,22583,1457,4834,True
1101,RSD,1978-08-01,16947,23715,1390,8356,True
1102,SGD,2017-09-03,21732,8484,10279,565,True
1103,TWD,1985-09-16,22861,9590,13719,16765,False
1104,FJD,2011-09-07,2156,9594,7113,1744,True
1105,TVD,1990-03-21,16142,13921,1119,10737,False
1106,IMP,2021-05-09,22533,5930,22431,4800,False
1107,NGN,2018-11-23,10167,19149,11347,9836,True
1108,CHF,1994-02-03,13337,21660,974,8291,True
1109,ETB,2009-11-15,10708,21902,4543,2073,True
1110,AFN,1986-12-18,10445,4093,14871,22088,True
1111,MZN,1986-03-14,19110,10409,19451,4794,True
1112,MRO,1970-03-30,13691,5229,10501,4884,True
1113,JEP,1994-08-24,23287,9890,11584,7246,False
1114,TRY,1982-06-03,14522,8868,21896,3375,False
1115,NOK,1990-11-04,20972,20165,9245,9455,True
1116,PHP,2014-09-17,678,7410,10014,15866,True
1117,SRD,1996-01-30,21681,21495,14429,17597,True
1118,SOS,1985-11-15,4077,21580,16481,883,True
1119,MRO,2017-09-23,7826,12287,8614,3818,True
1120,LYD,1979-03-05,7809,3542,13194,22302,False
1121,HNL,2013-02-18,8866,17614,8918,22029,False
1122,NGN,1970-05-12,18729,6056,12698,8780,True
1123,CLP,2021-08-08,5998,20118,8124,16991,True
1124,PEN,2021-10-06,17155,11518,5424,12327,False
1125,CLP,2017-09-13,3919,20246,18088,11143,True
1126,MYR,2017-03-30,15346,4104,4519,20966,False
1127,DJF,2022-04-06,20241,13961,5674,7380,False
1128,TMT,1971-09-23,11873,22477,4194,21805,True
1129,LSL,1978-06-17,5885,23291,4085,17283,True
1130,MWK,2009-05-17,6842,16521,9470,2282,False
1131,HTG,2018-05-29,10493,19486,7750,8488,False
1132,MYR,1986-04-12,8134,799,14650,6977,True
1133,SBD,2017-12-30,5153,10267,17802,16316,True
1134,CAD,1990-03-29,12460,9769,19349,11433,True
1135,EGP,1989-02-11,18140,20208,12225,11700,True
1136,KPW,1973-08-08,18710,6254,13873,6918,True
1137,BSD,2011-09-27,17436,6476,872,2571,True
1138,ZAR,1976-06-17,9658,4845,8273,17032,False
1139,MWK,1981-02-24,801,20468,23625,4272,True
1140,NIS,1978-05-24,17603,23689,3882,22251,True
1141,HKD,1971-01-02,11563,4703,13911,3873,False
1142,SEK,1971-07-10,14581,14791,11224,23572,True
1143,VUV,1980-09-23,4047,793,19553,3515,False
1144,NZD,1972-10-19,17920,10975,9554,4838,False
1145,SHP,2016-10-13,17373,2817,7461,18731,False
1146,CUP,2009-06-16,2629,5042,9595,10666,True
1147,MKD,1994-12-02,10547,20569,19436,17414,False
1148,UYU,1997-04-21,10903,17344,10625,15598,False
1149,MOP,1981-02-07,21762,12572,16660,9404,False
1150,MVR,1999-07-19,10446,23479,14061,12378,True
1151,SGD,2000-01-21,7236,13644,21005,18156,True
1152,SOS,1983-01-29,18,7077,7560,8692,True
1153,THB,1996-10-05,11522,21744,5554,8081,True
1154,INR,1974-08-16,23182,3467,17616,4572,True
1155,MDL,1983-04-05,15357,22842,21782,13221,False
1156,RUB,1991-06-20,2092,18990,3858,8495,False
1157,BHD,1991-11-09,20377,16370,12275,17407,True
1158,BIF,1994-04-11,23509,23645,7096,20395,False
1159,TND,1999-02-08,7959,9782,23546,20480,True
1160,CRC,1997-12-03,17838,23552,21177,9930,True
1161,LYD,2018-11-11,4093,12046,2075,10786,True
1162,PAB,2006-07-06,536,8486,16266,23534,False
1163,GEL,2006-02-10,21275,16986,20382,8162,False
1164,VUV,2012-08-09,16676,7544,21800,9194,False
1165,ARS,1989-02-12,12897,6536,6147,1935,True
1166,GTQ,1982-08-03,2009,17254,8445,19917,True
1167,ZAR,2018-09-07,12174,1867,22011,5267,False
1168,MXN,1999-04-27,4091,2077,22096,20961,True
1169,MWK,2004-10-06,17096,22032,12768,20534,True
1170,KHR,2003-08-14,4164,19261,7579,10046,True
1171,SPL,1983-01-18,8353,7611,17026,21129,True
1172,BOB,1997-10-10,5479,11862,17565,17796,True
1173,VND,1976-10-12,14323,6789,23393,19095,False
1174,NPR,1975-11-11,5401,7130,5510,9711,True
1175,RSD,1974-11-20,23868,15196,6526,4798,True
1176,TOP,2017-11-23,21803,17451,11811,4975,True
1177,GTQ,1984-01-11,8485,20022,21685,767,True
1178,AZN,2018-01-22,23653,4789,7563,10121,True
1179,IRR,1972-11-28,20082,8239,12413,45,True
1180,IMP,1979-05-11,197,20448,20547,14497,True
1181,SBD,1998-11-23,7113,19761,23112,10810,True
1182,HRK,2015-07-22,9384,6355,22794,19794,True
1183,PKR,1981-03-11,6831,4584,22692,13370,True
1184,BND,1984-02-27,20287,2898,519,16036,True
1185,CUC,1980-03-15,19777,1401,23963,11826,False
1186,BRL,1978-12-16,21359,20389,3357,9550,False
1187,BOB,1982-02-13,2244,2663,7635,13209,False
1188,QAR,1994-02-27,16510,13984,75,20575,True
1189,MYR,1990-04-13,14559,2156,18581,7784,True
1190,COP,2010-01-21,13331,21335,23094,22897,False
1191,UAH,1983-07-14,10911,3012,23518,17662,True
1192,MOP,1970-05-02,22379,12326,6478,9169,False
1193,DJF,2019-10-10,15966,7616,19131,18543,True
1194,BZD,2008-12-14,982,13288,5432,16568,True
1195,KWD,2005-12-04,14533,14467,8470,5975,True
1196,ARS,1984-03-07,7842,21536,23829,3291,False
1197,KZT,2019-06-12,5006,4413,16676,14570,True
1198,VND,1981-11-17,13276,2544,13083,7894,True
1199,ZWD,2016-02-13,12400,6303,10102,8950,False
1200,NPR,1974-06-29,8414,5383,11778,18840,True
1201,SRD,1992-10-25,11952,20580,13845,21887,True
1202,HUF,2008-04-21,23166,3085,13764,22735,False
1203,CUC,1995-10-16,6006,12637,19604,1737,True
1204,GBP,2018-12-30,21574,8909,20797,8094,True
1205,FJD,1996-02-02,16925,10371,18706,17738,False
1206,NIS,1975-03-02,8680,2349,18579,5664,True
1207,ANG,2018-06-22,19393,11591,7687,1861,True
1208,COP,1976-03-06,106,10599,12360,14844,True
1209,BWP,2009-03-03,10442,10014,18512,13769,True
1210,IMP,1995-08-07,1838,18218,6315,3989,True
1211,PAB,2000-10-08,12441,6133,16446,5039,False
1212,RUB,1994-01-18,17603,1572,20325,12198,False
1213,ARS,2003-10-02,19668,8336,14623,5424,False
1214,AZN,1984-10-23,2263,4083,6065,20132,True
1215,TJS,2010-02-27,17333,22815,23903,8645,True
1216,GTQ,1995-06-23,650,6027,13047,22497,False
1217,JPY,2003-05-27,7410,15034,3435,23548,True
1218,CLP,1979-11-19,8951,6036,5990,10248,False
1219,BZD,1988-05-12,14323,20371,15104,18042,True
1220,QAR,1999-11-04,14226,20290,8695,23323,True
1221,KYD,2023-09-01,4766,2980,17918,14093,False
1222,PEN,2014-06-30,21928,1947,8838,11408,True
1223,OMR,1985-03-06,4956,18465,1275,4162,False
1224,KES,1985-04-06,8895,22390,2954,13183,True
1225,SZL,1990-11-18,22973,14941,680,17038,True
1226,KGS,2006-05-18,2505,19867,5145,8009,False
1227,MOP,1979-02-24,22892,9388,9252,6329,True
1228,LBP,2004-01-26,21322,784,10992,8761,False
1229,DZD,1984-01-01,18268,14736,1893,12829,True
1230,VUV,1994-10-28,8645,22174,4138,5856,False
1231,HKD,2011-12-09,12252,21847,19436,7114,False
1232,NZD,2010-09-30,843,14151,11581,14743,False
1233,HNL,1991-07-12,23869,2347,14931,12825,False
1234,SOS,2021-05-29,2235,4280,14612,612,True
1235,XAF,1972-05-10,1464,21295,9286,8110,False
1236,LTL,2009-05-21,7037,3864,17709,5654,True
1237,MXN,2003-05-24,16128,11225,15634,6031,True
1238,KHR,2020-04-21,3565,4329,6355,11263,False
1239,AOA,2002-10-17,10654,7194,14280,14464,False
1240,GGP,1994-11-11,2419,23950,2355,12142,False
1241,LRD,2013-06-26,21773,17314,6771,18705,False
1242,CDF,1986-11-09,23522,8979,3798,16002,True
1243,DJF,1978-06-06,2290,20520,15962,9183,False
1244,SRD,2012-03-24,20470,21673,23763,20158,False
1245,BSD,2011-09-05,15806,4103,21777,23196,False
1246,BIF,1984-12-20,8084,7025,922,1010,True
1247,SDG,1982-07-11,12217,20775,22587,10309,True
1248,THB,2018-10-06,19107,4473,9389,1122,False
1249,MNT,2002-05-03,15012,610,19740,13079,False
1250,CAD,1989-07-21,1606,15504,13364,8130,False
1251,CUC,1986-10-05,17295,2354,13281,9435,True
1252,USD,2005-09-19,11506,20651,8088,15366,False
1253,PHP,1972-04-27,17057,11927,2039,22207,True
1254,RUB,1994-05-06,18552,13125,15168,13915,True
1255,MKD,1976-08-07,8075,20165,2461,9767,True
1256,BMD,1986-05-13,10557,20716,21103,7154,False
1257,SDG,2002-10-29,4580,1616,1060,20897,True
1258,MMK,1989-10-20,12923,21793,18316,19830,True
1259,AUD,2002-12-19,10302,20318,20131,3403,False
1260,MXN,1990-05-04,18250,23370,14105,6504,True
1261,KRW,2017-03-18,3178,5815,16587,19330,True
1262,MWK,1991-06-16,21025,20621,898,4478,False
1263,ERN,2001-08-13,3533,1241,17797,14505,False
1264,COP,2018-04-06,22788,22710,3416,1038,False
1265,DZD,1975-11-30,20169,12628,1955,15053,False
1266,NIO,1984-01-11,23399,9187,14368,12344,False
1267,AFN,1997-08-03,14777,23986,8508,10783,True
1268,DKK,1998-06-02,23549,17021,2039,4768,True
1269,GEL,1970-02-11,21341,3581,18763,22900,False
1270,MXN,2011-07-08,9787,22574,20789,5299,True
1271,GBP,2015-03-10,6292,18102,17389,15741,True
1272,JEP,2010-01-20,3524,11114,20050,11500,True
1273,CVE,2015-06-06,14830,3480,733,21539,True
1274,FJD,1981-06-22,2165,9326,23783,23813,True
1275,EUR,1997-11-28,8248,13388,21970,23573,True
1276,BHD,2006-09-23,1995,15841,9960,10740,True
1277,JMD,1988-12-06,17790,18625,5716,19974,False
1278,IQD,1976-10-02,23786,1463,19792,9705,False
1279,AUD,2013-02-14,5997,19094,10894,19270,True
1280,RSD,1987-03-09,8590,13677,12269,9779,True
1281,TOP,1988-10-15,16691,3444,1830,22838,True
1282,CVE,2003-09-13,23570,7633,14354,5259,True
1283,NIS,1990-01-25,17992,3220,22017,23881,True
1284,MRO,1978-01-19,23157,6097,20969,4282,False
1285,HRK,2004-02-11,16544,20968,17331,12208,False
1286,KPW,1979-01-17,9199,5211,14826,9977,True
1287,ARS,1990-04-03,1360,21635,12952,17784,False
1288,BTN,2002-04-19,14635,13035,17601,514,False
1289,ISK,1970-04-21,22273,27,14087,19040,False
1290,LRD,1994-01-30,11466,4980,18257,1379,False
1291,ZMW,2003-11-09,9351,16282,9096,15164,True
1292,BOB,2000-09-23,22644,23510,10430,10133,False
1293,RUB,2022-01-23,5660,19246,14411,14103,True
1294,GTQ,1997-08-02,10842,11860,23028,20370,False
1295,NGN,2005-06-24,9009,7611,22083,2903,True
1296,BND,2019-04-21,8203,3488,1630,22081,True
1297,AED,2001-02-13,3129,7291,15735,10112,False
1298,BYR,1989-03-08,19035,5195,10011,4988,True
1299,KHR,1975-06-25,7386,23472,8800,16802,True
1300,STD,2018-04-22,15197,5750,12185,5259,False
1301,KPW,1971-04-14,22819,22513,8767,13589,True
1302,MUR,2014-11-02,5141,5548,7992,20614,False
1303,NPR,1987-12-31,4274,13511,14950,5997,False
1304,UGX,1973-07-21,12655,11206,5445,146,True
1305,VND,1975-11-03,13860,18540,11189,756,False
1306,GMD,1975-02-11,2586,704,5357,12052,True
1307,KYD,2020-07-03,14269,15443,1235,15521,True
1308,YER,1974-07-31,15870,18819,18202,1701,True
1309,XPF,2012-10-15,15678,11298,18030,7372,False
1310,SYP,1988-12-01,23326,21997,11159,8843,False
1311,LBP,1995-09-18,9439,19247,22700,12055,True
1312,EGP,2022-03-21,18970,22042,7028,22313,True
1313,AMD,2003-03-28,16905,7869,13861,7107,True
1314,GIP,2013-06-25,13514,621,17608,21016,True
1315,NIS,1971-02-26,10538,16556,7058,3317,True
1316,ANG,1972-08-19,9525,13547,14786,21697,True
1317,MKD,1988-02-20,7513,2310,2521,9213,False
1318,SZL,1979-06-18,22230,1052,8881,13595,True
1319,AZN,1993-03-25,3249,18056,1532,1091,False
1320,SDG,1990-05-11,8021,22106,19524,9732,True
1321,DZD,2001-11-30,20964,6503,6687,8861,True
1322,ERN,1995-06-10,7569,9735,15148,18656,True
1323,BSD,2020-08-29,3414,2119,17705,8816,True
1324,YER,1999-07-10,12650,11564,18437,14451,True
1325,BOB,2018-01-20,3177,19697,4537,6971,True
1326,YER,2020-02-22,18245,11797,19566,1625,True
1327,ZMW,2003-08-12,7292,22260,18214,2645,True
1328,SAR,2011-11-11,21396,18604,17427,20766,True
1329,GYD,1970-07-04,4731,19931,19195,15573,True
1330,MUR,2018-01-21,15304,12814,16165,21866,True
1331,MOP,1974-08-13,1681,14054,14727,20215,True
1332,IDR,1994-10-02,8998,438,11591,22991,True
1333,DJF,2005-10-23,23290,23573,6262,19452,False
1334,JEP,1977-05-04,2670,15529,412,11544,False
1335,PLN,1996-10-03,12334,14330,17671,20357,False
1336,ERN,1985-03-26,14233,17723,8637,11292,True
1337,MVR,1999-07-31,5852,9411,18223,13975,True
1338,XDR,1978-06-04,739,22211,11573,7561,True
1339,ARS,1991-01-17,17213,17151,8006,8977,True
1340,WST,1996-03-23,13391,1182,9315,6191,False
1341,NGN,1981-02-08,54,1634,9445,9524,False
1342,TJS,2008-08-13,3088,5467,19969,1634,False
1343,BAM,1996-02-07,15067,11437,17026,2596,False
1344,GMD,1995-03-08,7125,16027,16154,7104,True
1345,EUR,2000-11-03,18487,5602,23994,17699,True
1346,WST,1978-08-29,11140,7838,3684,3123,True
1347,PHP,2017-08-17,6613,17456,130,13103,True
1348,MKD,1973-12-15,18882,3344,1860,340,True
1349,SYP,2005-03-10,5399,919,20519,14738,True
1350,NZD,2000-09-01,19365,11241,16883,15537,True
1351,HTG,1970-10-12,5288,6169,13806,18077,False
1352,VUV,1971-11-10,4239,7913,5910,22368,True
1353,BHD,2002-09-28,18461,23429,11557,15801,True
1354,CZK,1997-08-24,4664,458,21631,12743,False
1355,PHP,2011-04-04,17751,20086,7830,3595,False
1356,LYD,1985-04-22,982,6002,22755,9650,True
1357,SCR,1976-04-10,8002,10751,10510,22216,True
1358,TTD,2012-06-25,9375,445,11555,5288,True
1359,IRR,2008-08-22,5366,18121,978,22442,True
1360,THB,1979-02-19,9188,16505,2292,2764,False
1361,DJF,1981-04-17,5986,18680,12188,7253,True
1362,COP,1991-05-06,12497,22788,20448,9716,True
1363,PKR,2005-11-11,12267,19672,4542,17881,True
1364,IDR,2011-12-24,8136,20249,23309,13120,True
1365,BSD,1982-02-17,14568,6492,17735,9561,True
1366,DJF,1990-08-10,7866,1599,22458,18433,True
1367,MMK,2003-11-23,3301,6747,13906,12543,False
1368,TOP,1995-06-24,645,9457,6307,910,False
1369,RWF,2004-02-20,3477,17531,18678,3675,True
1370,IRR,1972-04-03,10964,21803,13813,20982,True
1371,RUB,2006-06-03,8529,1112,15792,2515,False
1372,ISK,1980-05-19,10609,10951,2385,3726,True
1373,PEN,1976-08-08,2060,12469,15536,14342,False
1374,STD,2020-02-21,501,11124,22878,15003,False
1375,MAD,2002-11-08,22860,21428,18666,15855,False
1376,STD,2014-01-26,14221,13785,2865,3857,True
1377,ARS,1980-11-14,22192,21687,1187,4123,False
1378,ZWD,2003-09-03,10134,13173,13093,9620,True
1379,MKD,2019-03-17,4788,236,11489,11573,True
1380,HRK,1976-09-06,16465,17429,5340,21944,False
1381,FKP,1972-08-20,16959,17446,413,10966,False
1382,SYP,1979-07-29,4705,10405,2133,13218,True
1383,MMK,1971-02-13,2134,16806,8801,11184,True
1384,MVR,1979-01-31,14242,16841,15261,18948,False
1385,SBD,1997-06-03,1844,20079,13073,9225,True
1386,NGN,1993-03-22,23244,9477,11407,13216,False
1387,TWD,1992-06-14,698,11851,20072,10482,False
1388,UYU,2010-01-12,13408,21655,18500,13088,True
1389,MNT,1986-08-07,12623,12516,14706,13761,True
1390,CUC,1986-12-03,16409,274,12370,10056,True
1391,SBD,2004-08-29,21146,13914,2976,11576,False
1392,TMT,2012-09-23,19960,17581,11289,20488,False
1393,ERN,2019-10-13,1851,4674,7387,13581,True
1394,KMF,1993-12-09,2564,9724,11636,16380,False
1395,MYR,1995-02-03,11434,3654,11428,4200,True
1396,BRL,1987-10-29,16540,11734,7687,20896,True
1397,UZS,1977-06-16,7228,3283,10219,10163,False
1398,PGK,1993-08-03,1672,16518,14899,19964,True
1399,ERN,1985-12-03,2862,4187,12984,3588,True
1400,YER,2009-10-21,157,19165,841,19236,False
1401,JMD,1977-08-31,8094,2967,5296,549,False
1402,MRO,2011-03-04,11341,15491,8233,2633,True
1403,PLN,1983-03-07,22397,18924,21512,14387,True
1404,MNT,1994-07-03,20070,16764,21992,22372,True
1405,OMR,1979-12-28,5967,12974,9701,15799,True
1406,XAF,2014-07-28,16458,3305,15858,21054,False
1407,BIF,2015-09-05,55,18808,23754,3721,False
1408,ERN,1994-04-25,18688,2827,22219,12307,False
1409,DZD,2004-08-22,22916,3266,21670,11769,True
1410,BBD,2017-09-13,12469,10315,15992,3122,True
1411,ZAR,2002-03-04,21546,10547,8084,56,False
1412,ZMW,1989-01-25,9568,7959,5228,22243,False
1413,OMR,1981-06-14,2072,20010,17705,9756,False
1414,GHS,1999-04-26,17230,21877,3170,2143,True
1415,UYU,2013-09-05,4762,23943,11809,21750,True
1416,TND,1979-10-19,35,12998,18887,5008,True
1417,KGS,1993-05-01,5348,19173,3022,13376,False
1418,KES,2011-02-11,20161,14078,21268,14447,False
1419,SVC,1985-03-07,6950,8711,15828,12474,True
1420,TRY,1985-10-10,16761,10271,5941,23765,False
1421,GMD,1972-01-22,3946,19879,4215,311,False
1422,MRO,2008-11-18,4935,6703,7938,12009,True
1423,DKK,1974-10-05,11984,14026,731,10800,False
1424,RWF,1989-09-21,20809,14118,17947,5012,False
1425,EUR,2022-08-01,2517,8109,7521,1304,True
1426,GBP,1986-03-27,14782,16189,20825,18798,True
1427,PGK,1995-03-14,14809,16,19593,4796,True
1428,BYR,1970-11-12,21920,18751,6743,19778,True
1429,MUR,2009-12-18,8870,5575,6716,16313,False
1430,LTL,1977-09-12,12251,3040,1983,22521,False
1431,SCR,1982-07-03,15100,13647,9818,9460,True
1432,TOP,2019-08-11,5360,21864,16891,12613,True
1433,MWK,1980-05-12,23991,22578,14196,11130,True
1434,LYD,1982-06-28,9446,919,21018,20638,False
1435,IMP,1973-05-01,16668,20813,14379,14052,False
1436,AZN,2004-09-21,4879,18483,430,3907,False
1437,IQD,1978-09-24,16917,21427,2655,7253,False
1438,TVD,1987-02-08,20950,11701,13294,14015,True
1439,BBD,2004-02-21,14689,1795,11857,4858,False
1440,MYR,2012-05-12,16969,15617,2745,23792,True
1441,KES,1994-07-10,241,14389,4890,17807,True
1442,THB,1999-03-08,16291,414,17008,8254,False
1443,RUB,1974-03-25,3399,9371,23685,20235,True
1444,DJF,1972-05-14,3914,13644,2532,20853,False
1445,GGP,2002-11-10,19448,16141,8969,12985,False
1446,KES,2016-10-02,2474,18522,10482,22961,True
1447,GNF,1977-01-18,4131,1601,10308,16662,True
1448,GBP,2011-08-19,12863,2804,3901,16729,True
1449,CNY,1985-09-25,16413,15552,10954,102,False
1450,IMP,2002-06-08,592,22077,5859,18098,False
1451,IDR,1997-05-20,10999,16859,19288,20787,True
1452,LAK,1989-04-03,5530,1430,16355,5211,False
1453,PAB,1995-08-07,6187,13260,6925,20195,False
1454,INR,2015-03-24,2340,4569,6649,16898,True
1455,TMT,2006-06-15,15174,17696,22764,21713,True
1456,SPL,2007-02-23,16270,8723,4957,14954,True
1457,BRL,2006-07-06,6833,7875,378,14288,False
1458,MAD,1980-11-21,5636,5578,13380,5416,True
1459,MDL,2015-03-02,9970,3130,14509,22069,False
1460,PAB,1982-04-08,464,22850,14304,5875,True
1461,JMD,2018-10-03,18540,19691,2677,11269,True
1462,MYR,2018-11-21,9349,11640,3973,3387,True
1463,RSD,2001-05-09,19742,23157,5876,9431,True
1464,GHS,2010-10-16,3417,3910,8196,7181,True
1465,DZD,1982-11-12,802,14140,10386,13966,True
1466,PHP,2023-04-14,13840,19117,7604,17026,False
1467,BOB,2021-01-10,19777,15758,21512,19779,True
1468,BDT,1999-12-26,20745,16238,6369,6568,True
1469,MOP,1977-05-15,5972,20294,2464,8055,True
1470,NIS,2018-05-30,4261,19408,7869,15286,True
1471,STD,1982-01-22,22213,9085,4401,21602,False
1472,BTN,1971-11-03,12368,9615,12684,22918,True
1473,TMT,1987-01-21,16181,791,4933,4441,True
1474,SBD,1976-04-23,9835,17296,3550,7516,False
1475,BHD,1987-10-01,20137,17799,10702,20328,True
1476,ERN,1987-07-27,4284,14198,296,17173,False
1477,DZD,2017-10-02,6146,6254,7927,7293,True
1478,GMD,2013-10-23,1476,3412,916,501,True
1479,INR,2016-12-07,4295,3269,13105,13689,True
1480,DJF,1978-11-07,10265,5183,23338,9793,True
1481,SLL,1975-04-13,22085,2791,22740,17571,True
1482,BGN,1970-03-15,18094,10073,18220,10741,True
1483,ZWD,1976-07-27,12747,1524,6209,21697,True
1484,SEK,1976-05-22,1325,23268,23902,17756,False
1485,HNL,2004-06-06,17640,22671,19371,17239,True
1486,PEN,2008-11-12,23134,1892,15859,10149,True
1487,CZK,1985-02-28,15223,384,5212,23531,True
1488,IQD,1973-08-29,6108,4145,2304,10159,False
1489,JOD,2003-03-14,12334,11008,10321,18066,False
1490,JMD,1979-10-20,1744,9345,6395,22279,True
1491,AWG,1996-08-14,1661,8038,9451,15083,True
1492,MWK,2008-03-29,6539,18624,4381,212,False
1493,SPL,1979-07-09,22509,18056,9256,19737,True
1494,NZD,1992-12-13,187,5047,13621,19087,False
1495,GTQ,2002-01-19,9969,2211,9687,15761,False
1496,ETB,1972-02-21,10479,441,20222,16413,True
1497,SDG,1971-02-13,18216,8127,3493,15540,False
1498,BMD,2021-11-23,17402,18776,19161,1144,True
